MAZEPT1_QUESTION,"Whoa! The trap jumped to the desktop, as a new app called Sidetrack! Let's launch it!",ada,,,quests/horse-tale
MAZEPT1_QUEST_ACCEPT,Ready!,,,,quests/horse-tale
MAZEPT1_LAUNCH_ADA,Go ahead and Launch *Sidetrack*.,ada,,,quests/horse-tale
MAZEPT1_LAUNCH_ADA_HINT1,Click the *Sidetrack* icon on the desktop.,,,,quests/horse-tale
MAZEPT1_RILEYHELLO,"Oh, hheeeyyy, wassup? But, srsly, YOU GUYS!!! So glad to see you! Whew. That last part was pretty rough! 

Suddenly I'm just here in this maze 24/7. My life rn? Running. Looking for me? Catch me here, running! 

Forward, and up, Forward, and down. On the diagonal, I mean, actually it's not totally uncool. You'll see. ",riley,,,
MAZEPT1_EXIT,"I'm learning tons in here, but I do hope to get back to my _actual_ classes one day. 

Hope all this counts for some extra credit in my ""Foundations of Machine Learning"" class, LOL.",riley,,,
MAZEPT1_MANUAL1_INTRO,"See that *Exit*? That's my dream, to get to that *Exit*. And you can help me get there!",riley,,,
MAZEPT1_MANUAL1,"Use the FORWARD, UP, and DOWN *Instructions* to move me through these obstacles.",riley,,,
MAZEPT1_MANUAL1_HINT1,"I always run one space to the right, but I can also move UP or DOWN at the same time.",riley,,,
MAZEPT1_MANUAL1_HINT2,Watch out for those *Walls*!,riley,,,
MAZEPT1_DIED_RESTART,Ooopff. Let's try to avoid these *Walls*!,riley,,,
MAZEPT1_MANUAL2,"Hey, that's not fair! Another level? I thought I just had to get the exit! But okay, let's do this. ",riley,,,
MAZEPT1_MANUAL4,"*Pits*? This is preposterous!  Riley will have to use her JUMP *Instruction*  to cross the *Pits*!

There's a trick to the JUMP though! JUMP only works if the *Pit* is _directly_ in front of you. ",saniel,talk_anger,,
MAZEPT1_MANUAL5,"Well at least I like jumping! But I have to remember, you can only use a JUMP to go forward! ",riley,,,
MAZEPT1_ROBOTS1,"What are these? *Robot* insects? Insects, really? LOL. Hi! `My.` `Name.` `Is.` `Riley.` `What's.` `Your.` `Name.`",riley,,,
MAZEPT1_ROBOTS2,"Okay, Riley, very funny. Be careful. Study how they move. Keep in mind that when you move, they're moving too. ",saniel,,,
MAZEPT1_ROBOTS3,Watch their movement carefully to plan your next move. Think about the space they open when they move.,saniel,,,
MAZEPT1_ROBOTS3_HINT1,"These *Robots* only move DOWN, never left or right. Try to use their own rules to get past them. ",saniel,,,
MAZEPT1_ROBOTS3_HINT2,"And when they walk off the bottom, they reappear at the top! So keep your eye out for that!",saniel,,,
MAZEPT1_MOREROBOTS,"Another *Robot*! This new type only moves UP, just like the first only moves DOWN. They glow in the direction they're facing!",riley,,,
MAZEPT1_AUTO1,"*Robots!* & *Pits!* & *Walls,* oh my! Saniel, my friend, I've got this. I'll be bouncing this maze in no time ;)",riley,hurray,,
MAZEPT1_AUTO1_FELIX,mjau ^ = ^ mjav //\\ ngiyaw /\ ^  miav,felixnet,,quests/glitch-meow,
MAZEPT1_AUTO1_FABER,Hold up. Listen. Was that more meowing? Did one of Saniel's cats follow Riley into the trap?,faber,,,
MAZEPT1_AUTO1_ADA,Sounds like it! Riley? Your manual controls just totally disappeared. Something must be messing with them!,ada,,,
MAZEPT1_AUTO1_RILEY,How am I ever going to get out of this maze if I can't move?,riley,,,
MAZEPT1_AUTO1_SANIEL_REACTION,This is most irregular! But look! I see that the maze has given you a set of *Instructions* already.,saniel,,,
MAZEPT1_AUTO1_SANIEL,See that PLAY button? Try pushing that.,saniel,,,
MAZEPT1_AUTO1_SANIEL_HINT1,Press the PLAY button to activate the *Instructions*.,saniel,,,
MAZEPT1_AUTO2_INTRO,"You can still move, but now you have to plan all your moves in advance.

It's a new kind of challenge – you just have to give yourself time to think it through. ",saniel,,,
MAZEPT1_AUTO2,"After you have the *Instructions* lined up, you press PLAY and that moves you through the maze.",,,,
MAZEPT1_AUTO3,This set of *Instructions* won't cut it! Study the obstacles and put the *Instructions* in a new order.,saniel,,,
MAZEPT1_AUTO3_HINT1,You’ll need to drag and drop those *Instructions* to put them in a new order.,saniel,,,
MAZEPT1_AUTO3_HINT2,Press PLAY to execute the *Instructions* and get through the level.,saniel,,,
MAZEPT1_AUTO3_HINT3,"And keep in mind, once you press PLAY you can no longer change the *Instructions!*",saniel,,,
MAZEPT1_AUTO3_SUCCESS,Excellent! Riley sailed right through! Thanks to your strategic thinking! ,saniel,hurray,,
MAZEPT1_AUTO3_FAILURE,Good try! Let's review the order of the *Instructions* and try again. Do you see a different order to try?,saniel,,,
MAZEPT1_AUTO4_BACKSTORY,I feel awful that Riley's stuck in there! I'm afraid it's all my own fault. I should know how to get her through this!,saniel,,,
MAZEPT1_AUTO4_BACKSTORY2,"Saniel, we're all trying to figure this thing out. Don't be so hard on yourself.

How could you know this ancient thing would suddenly light up and swallow Riley? 

You didn't know there were levels and levels of mazes in there! It's not like you built it!",faber,,,
MAZEPT1_AUTO4_BACKSTORY3,I’m afraid I did. ,saniel,,,quests/san-backstory
MAZEPT1_AUTO4_BACKSTORY4,Wait. You did know about the mazes? Or do you mean you did BUILD IT?,ada,,,quests/san-backstory
