SNOW_QUEST_NAME,Let it snow!,,,,
SNOW_QUEST_SUBTITLE,What you'll do,,,,
SNOW_QUEST_DESCRIPTION,"This is OS hacking at it's finest. Spectacular effects for your desktop. Learn about GNOME Shell extensions, CSS and emojis.",,,,
SNOW_ABORT,"It's alright, we can try this later.",riley,,,
SNOW_EXTENSION0,"As you all know I have a passion for art. For as long as there has been art, artists have been enthused by nature. I am fascinated by the beauty of snow crystals. And today I would like to bring that beauty to your computing environment. ",estelle,,,
SNOW_EXTENSION1,Thank you Estelle for that lovely introduction. As we say around here: Let the snow begin!,faber,,,
SNOW_EXTENSION2,"So for the next experiment we need to modify our Operating System, the Graphical user interface to it to be more precise. We can do this by adding so called <b>Shell extensions</b>, tiny programs that add something special to your Desktop. There are lots of different extensions that you can explore here: <u><span insert_hyphens=""false"" foreground=""#3584E4"">https://extensions.gnome.org/</span></u>

Riley will walk you though the setup process. We had hacking the OS in class just recently.",saniel,,,
SNOW_EXTENSION3,"Ok, Saniel. Fortunately, I already have the <b>Snow</b> extension here, so I can just install it for you. ",riley,,,
SNOW_EXTENSION4,"<b>{{user_name}}</b> please press ""Install"" on the dialog that pops up, and we can continue.",riley,,,
SNOW_EXTENSION_ERROR,"Uh-oh, looks like something's gone wrong with the extension install! We can't keep going without that, so I have to end this activity. Sorry!",daemon,,,
SNOW_EXTENSION_APP1,"Now that the <b>Snow</b> extension is installed, we need to enable it. To do so, we need to install a little app that lets you manage extensions.",riley,,,
SNOW_ENABLE1,"Every extension that you have installed can be either <b>enabled</b> or <b>disabled</b>. So next we need to enable the <b>Snow</b> extension. Check the <b>Desktop</b> for the <b>Extensions</b> app, and launch it.",riley,,,
SNOW_ENABLE2,This application shows all your extensions  - you can enable or disable each one using the switch on the <b>right</b>.,riley,,,
SNOW_ENABLE3,"Look for the <b>Snow</b> extension, and click the switch to the <b>right</b> of it to enable it.",riley,,,
SNOW_ENABLE4,"Conglatulations, you enabled the extension! Now look at the panel and you should see the ❄️ icon. That's the <b>Snow</b> extension!",riley,hurray,,
